username,review,rating,date,app,cleaned_review,processed_review,sentiment,rating_sentiment
Sanjoy Manna,vijj,1,2026-03-12 02:48:43,Zomato,vijj,vijj,Neutral,Negative
Sherin.S sherin,very good,5,2026-03-12 02:47:09,Zomato,very good,good,Positive,Positive
Ningreithem Moilee,Plenty of options to choose anytime anywhere.,5,2026-03-12 02:45:45,Zomato,plenty of options to choose anytime anywhere,plenty option choose anytime anywhere,Neutral,Positive
Md tunna,good,5,2026-03-12 02:30:00,Zomato,good,good,Positive,Positive
Naresh Kumar,ok,5,2026-03-12 02:25:01,Zomato,ok,ok,Neutral,Positive
Govardhan Rathod,so nice i love you zometo,5,2026-03-12 02:23:36,Zomato,so nice i love you zometo,nice love zometo,Positive,Positive
nafees siddique cool,bahut acchi hai lekin rider log chaddi mein a jaate Hain sal chaddi mein aate Hain to koi baat nahin lekin na ke darvaje wapasal jaate Hain,5,2026-03-12 02:21:19,Zomato,bahut acchi hai lekin rider log chaddi mein a jaate hain sal chaddi mein aate hain to koi baat nahin lekin na ke darvaje wapasal jaate hain,bahut acchi hai lekin rider log chaddi mein jaate hain sal chaddi mein aate hain koi baat nahin lekin darvaje wapasal jaate hain,Neutral,Positive
Alfez Mansoori,thank you to give me today cash on delivery because I haven't a bank account😭😭,5,2026-03-12 02:19:19,Zomato,thank you to give me today cash on delivery because i havent a bank account,thank give today cash delivery havent bank account,Positive,Positive
ashish gajbhiye,Overall my experience is very good. The app has added a lot more good and sustainable options in the recent years. I have been in this app since 2018 and has used it for delivering food and also checking reviews of various restaurants and QSRs. Providing our favourite food at our door steps and Quick delivery marks its finest operation success thanks to the dedicated delivery executive team. There are hard days for both the delivery executives and the customers but this app has come a long way.,5,2026-03-12 02:17:43,Zomato,overall my experience is very good the app has added a lot more good and sustainable options in the recent years i have been in this app since  and has used it for delivering food and also checking reviews of various restaurants and qsrs providing our favourite food at our door steps and quick delivery marks its finest operation success thanks to the dedicated delivery executive team there are hard days for both the delivery executives and the customers but this app has come a long way,overall experience good app added lot good sustainable option recent year app since used delivering food also checking review various restaurant qsrs providing favourite food door step quick delivery mark finest operation success thanks dedicated delivery executive team hard day delivery executive customer app come long way,Positive,Positive
Ankit Mishra,late delivery,5,2026-03-12 02:16:10,Zomato,late delivery,late delivery,Neutral,Positive
Jemmy Cook,good response,5,2026-03-12 02:15:59,Zomato,good response,good response,Positive,Positive
Shubham Verma,Brookh lagte hi turant zomato!,5,2026-03-12 02:15:27,Zomato,brookh lagte hi turant zomato,brookh lagte turant zomato,Neutral,Positive
